2025-02-06 16:59:25:385  {"uuid": "b65ec250-b108-4f42-983d-aba9ccd5a6cb", "url": "https://shushilda.com/catalog/sims-4-cc/shoes-sims4/adidas-superstar-ts4/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": null, "previous": null}
2025-02-06 16:59:25:780  {"uuid": "bca352e9-e032-444e-a9f7-377b16b0f6ef", "url": "https://www.candysims.com/snowflakeboots", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": null, "previous": {"uuid": "7df95ce9-fd13-4dfb-bdd0-241847021658", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1675093910&key=f987fc317309e21ce0fdadaaa140c47e&cid=319350", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": {"uuid": "d01de6e5-2787-47a7-a7f2-d96d1942f6be", "url": "https://www.simsfinds.com/continue?key=f987fc317309e21ce0fdadaaa140c47e", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": {"uuid": "5f176f3f-4356-4a94-9b91-c3290cc0d8b2", "url": "https://www.simsfinds.com/downloads/319350/snowflake-boots-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_16.59.20", "filename": "snowflake boots", "previous": null}}}}
2025-02-06 17:31:00:502  {"uuid": "714674fe-5f18-401f-8707-ab0e86482f3a", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/cc-runners-t/id/1515452/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "64dd7a22-c5ed-41d2-a4ac-7bbc6d668251", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1605976420&key=c9c931e933f4127ac3c2dcf8dabb1012&cid=255135", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Runners T", "previous": {"uuid": "3933c837-4236-4b85-9a52-56292ce49b0e", "url": "https://www.simsfinds.com/continue?key=c9c931e933f4127ac3c2dcf8dabb1012", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Runners T", "previous": {"uuid": "96565acf-e9d9-407f-b2a1-20233c721f92", "url": "https://www.simsfinds.com/downloads/255135/carvin-captoor-s-cc-runners-t-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Runners T", "previous": null}}}}
2025-02-06 17:31:00:503  {"uuid": "4d440b6a-4fe6-4ecb-a4dc-c83c7b9bae4d", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/summerstyle-floral-short-jumpsuits/id/1476507/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "fcbea594-05b8-47f4-ba05-e293b9abb6d8", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1580657523&key=ad78187853387aeb15f832d5b75e0565&cid=193608", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "SummerStyle Floral Short JumpSuits", "previous": {"uuid": "02779d92-40da-44c8-9db6-a23d7c52a08b", "url": "https://www.simsfinds.com/continue?key=ad78187853387aeb15f832d5b75e0565", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "SummerStyle Floral Short JumpSuits", "previous": {"uuid": "35f97593-d0cd-47f2-9b8d-55695000e1a3", "url": "https://www.simsfinds.com/downloads/193608/summerstyle-floral-short-jumpsuits-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "SummerStyle Floral Short JumpSuits", "previous": null}}}}
2025-02-06 17:31:00:504  {"uuid": "e84fa4e8-4849-46f0-a06d-dc8cc251991d", "url": "https://savvysweet.tumblr.com/post/184754509783/bebe-bodysuit-this-bodysuit-is-an-edit", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "37d7a8b9-d960-4bef-be52-a2c110cb493e", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1557432936&key=61eefff485a7c7954cadd97851950665&cid=154432", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "avvysweet:  Bebe Bodysuit", "previous": {"uuid": "65d053a1-056a-4726-84d8-7719fadb7e7b", "url": "https://www.simsfinds.com/continue?key=61eefff485a7c7954cadd97851950665", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "avvysweet:  Bebe Bodysuit", "previous": {"uuid": "f8e9cc64-070a-43c5-9e69-a42cc0c68ca6", "url": "https://www.simsfinds.com/downloads/154432/avvysweet-bebe-bodysuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "avvysweet:  Bebe Bodysuit", "previous": null}}}}
2025-02-06 17:31:00:508  {"uuid": "72f2c3cc-9fcc-419e-b322-e9e5c036cea8", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/nightfall-jumpsuit/id/1420530/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "55d942ad-5fcb-4583-935e-049f1f796372", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1531598838&key=37e3525cdfc7ea63b08d5e23138b599e&cid=119932", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Nightfall Jumpsuit", "previous": {"uuid": "e873596b-3d8a-4d73-b0f9-07d511f01248", "url": "https://www.simsfinds.com/continue?key=37e3525cdfc7ea63b08d5e23138b599e", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Nightfall Jumpsuit", "previous": {"uuid": "ab4d5fac-06d8-4f5a-9563-c1f05d87afe9", "url": "https://www.simsfinds.com/downloads/119932/nightfall-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Nightfall Jumpsuit", "previous": null}}}}
2025-02-06 17:31:00:508  {"uuid": "b950bacf-4b3f-4037-a72d-b22aac8d4dbd", "url": "https://www.thesimsresource.com/members/Joan_Campbell_Beauty_/downloads/details/category/sims4-clothing-female-adult/title/demetria-dress/id/1726656/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "b384c1cd-e037-41e2-a5a7-6d4afdcd4a7a", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1735373118&key=a1285509c4798c51b26ddcc6591da7dc&cid=359074", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "DEMETRIA DRESS by Joan_Campbell_Beauty_", "previous": {"uuid": "1ab527e7-4eb2-471e-b8bc-fd69b77bde81", "url": "https://www.simsfinds.com/continue?key=a1285509c4798c51b26ddcc6591da7dc", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "DEMETRIA DRESS by Joan_Campbell_Beauty_", "previous": {"uuid": "b9e0a4e0-22a3-4b39-a13a-11082d6c76a9", "url": "https://www.simsfinds.com/downloads/359074/demetria-dress-by-joan-campbell-beauty-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "DEMETRIA DRESS by Joan_Campbell_Beauty_", "previous": null}}}}
2025-02-06 17:31:00:522  {"uuid": "1332b46f-6e6d-4b83-b39a-00b43f6a83a5", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/ice-cream-jumpsuit/id/1516021/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "62523d13-188d-41e3-860d-2202ae2980b3", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1606321976&key=59227b457f988345e127a77e5497e628&cid=255956", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "plbsims&#39; Ice Cream Jumpsuit", "previous": {"uuid": "f4e48ab5-8537-456f-8277-a6ecb19e9e78", "url": "https://www.simsfinds.com/continue?key=59227b457f988345e127a77e5497e628", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "plbsims&#39; Ice Cream Jumpsuit", "previous": {"uuid": "a68a712b-ba9b-4fe4-950b-587f56e98f66", "url": "https://www.simsfinds.com/downloads/255956/plbsims-ice-cream-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "plbsims&#39; Ice Cream Jumpsuit", "previous": null}}}}
2025-02-06 17:31:00:524  {"uuid": "9cb09f07-3dfa-4e0e-9c93-75a3d44492da", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/christopher067-%7C%7C-candice-jumpsuit/id/1407756/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "6a4f01dd-7900-433c-b72d-50652974664a", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1521042061&key=8415e556d9e95d7a24e1ec44bb7dd9fa&cid=105090", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Christopher067 || Candice Jumpsuit", "previous": {"uuid": "c9967792-891d-405f-8bf1-fc7395224acb", "url": "https://www.simsfinds.com/continue?key=8415e556d9e95d7a24e1ec44bb7dd9fa", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Christopher067 || Candice Jumpsuit", "previous": {"uuid": "061541c5-6dda-49ac-a2d1-5689be0f7e86", "url": "https://www.simsfinds.com/downloads/105090/christopher067-candice-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Christopher067 || Candice Jumpsuit", "previous": null}}}}
2025-02-06 17:31:00:525  {"uuid": "15a6cc73-f155-44fa-9179-bf5d0c144f60", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/%5Bpixelette%5D-molly-outfit/id/1495751/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "03e5ea10-6a9a-4c36-b9f5-b70531c313d1", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1592660741&key=c64347ad7c429f2fa8b1c897ed3b909a&cid=218080", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "[pixelette] Molly Outfit", "previous": {"uuid": "afc2155d-8c3d-4e85-b239-4e71535ef770", "url": "https://www.simsfinds.com/continue?key=c64347ad7c429f2fa8b1c897ed3b909a", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "[pixelette] Molly Outfit", "previous": {"uuid": "efe1d456-e3ab-4aee-895c-aa0b1d99df31", "url": "https://www.simsfinds.com/downloads/218080/pixelette-molly-outfit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "[pixelette] Molly Outfit", "previous": null}}}}
2025-02-06 17:31:00:537  {"uuid": "ee7cb173-7bb3-4349-9a8f-7dcfa6e05fc7", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/vacay-jumpsuit-%28mesh-needed%29/id/1471890/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "37ef2075-f68a-4e36-a9fb-7e532c864135", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1577029076&key=3a32c1438d8130751dc5f25179119dbe&cid=185002", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Vacay Jumpsuit &#40;Mesh needed&#41;", "previous": {"uuid": "405612a5-8822-4fb5-a967-54d947b67094", "url": "https://www.simsfinds.com/continue?key=3a32c1438d8130751dc5f25179119dbe", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Vacay Jumpsuit &#40;Mesh needed&#41;", "previous": {"uuid": "248a6282-b355-486f-bcef-812711e78e1c", "url": "https://www.simsfinds.com/downloads/185002/vacay-jumpsuit-mesh-needed-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Vacay Jumpsuit &#40;Mesh needed&#41;", "previous": null}}}}
2025-02-06 17:31:00:547  {"uuid": "605ab530-363f-4de2-95f2-4b69e6558f9c", "url": "https://anessasims.tumblr.com/post/174906911379/hi-it-seems-ive-been-making-a-lot-of-seasons", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "1d03f9fd-4949-4510-81b5-1634b1ae5ebb", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1529077001&key=f2c64c50aea4d58cdb7a71f8653ce823&cid=115911", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Anessasims Rochelle Romper", "previous": {"uuid": "c1d8fd02-e815-4fda-a800-093234199c8a", "url": "https://www.simsfinds.com/continue?key=f2c64c50aea4d58cdb7a71f8653ce823", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Anessasims Rochelle Romper", "previous": {"uuid": "6e1eb110-1727-4448-a342-dbc0a7721c4d", "url": "https://www.simsfinds.com/downloads/115911/anessasims-rochelle-romper-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Anessasims Rochelle Romper", "previous": null}}}}
2025-02-06 17:31:00:560  {"uuid": "eb5f0d47-8e3b-4c67-aa4b-c80a9dbd690e", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/jumpsuit-skadi-1-new-mesh/id/1509250/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "aaa3e7cd-fd01-4a2e-bd6a-c6878f44cb2c", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1602003039&key=776e33a15c96336f2629961d3ea69de5&cid=244428", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jaru Sims&#39; Jumpsuit Skadi 1 - NEW MESH", "previous": {"uuid": "262d13d8-7f03-4c18-ae82-ac406f439d31", "url": "https://www.simsfinds.com/continue?key=776e33a15c96336f2629961d3ea69de5", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jaru Sims&#39; Jumpsuit Skadi 1 - NEW MESH", "previous": {"uuid": "2e93c5a2-1c79-4b14-b018-7fc617fdbf3f", "url": "https://www.simsfinds.com/downloads/244428/jaru-sims-jumpsuit-skadi-1-new-mesh-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Jaru Sims&#39; Jumpsuit Skadi 1 - NEW MESH", "previous": null}}}}
2025-02-06 17:31:00:575  {"uuid": "6ea454ea-f543-4e03-b117-34baf932f04b", "url": "https://ruchellsims-cc.blogspot.com/2022/03/rica-high-heel-free.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "46e413fa-4d14-45fb-91dd-7b5c109837e0", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1646962374&key=3e5bcf5769ed620b89fafc4f0768724b&cid=301914", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "RICA HIGH HEEL - FREE", "previous": {"uuid": "eb115ac5-f002-44e5-9e8d-fcd0b1b9372a", "url": "https://www.simsfinds.com/continue?key=3e5bcf5769ed620b89fafc4f0768724b", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "RICA HIGH HEEL - FREE", "previous": {"uuid": "ad8ba118-b207-4518-be41-386768a365e1", "url": "https://www.simsfinds.com/downloads/301914/rica-high-heel-free-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "RICA HIGH HEEL - FREE", "previous": null}}}}
2025-02-06 17:31:00:575  {"uuid": "a1288e4a-4856-40b0-bca2-2339cae0eade", "url": "https://ruchellsims-cc.blogspot.com/2022/12/minimal-slippers.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "ac5fd17b-a2bc-4b73-94b6-adfee927cdcc", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1670980273&key=b49738690b84968d9ac339f3cf673cb9&cid=316931", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "MINIMAL SLIPPERS - free", "previous": {"uuid": "c74937e5-43be-4458-9bf4-4dd5b5555179", "url": "https://www.simsfinds.com/continue?key=b49738690b84968d9ac339f3cf673cb9", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "MINIMAL SLIPPERS - free", "previous": {"uuid": "d406e700-bc3c-4021-b654-5a939ade3a73", "url": "https://www.simsfinds.com/downloads/316931/minimal-slippers-free-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "MINIMAL SLIPPERS - free", "previous": null}}}}
2025-02-06 17:31:00:576  {"uuid": "329c5624-7ece-43c3-99df-aff59b8ed75f", "url": "https://plumbobsnfries.tumblr.com/post/720281161364111360/nikita-unitard", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "13cc2a57-c03b-4626-829a-b52f6981f8ce", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1686960536&key=357e4888dc76f7119d1d7e303f7e4d91&cid=326268", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NIKITA | unitard", "previous": {"uuid": "6138c2e8-f804-49e5-9074-7830530fa4cd", "url": "https://www.simsfinds.com/continue?key=357e4888dc76f7119d1d7e303f7e4d91", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NIKITA | unitard", "previous": {"uuid": "326a3524-4a2f-456b-85e1-d4f3dd58289a", "url": "https://www.simsfinds.com/downloads/326268/nikita-unitard-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "NIKITA | unitard", "previous": null}}}}
2025-02-06 17:31:00:577  {"uuid": "5d0f6231-aec5-477a-be38-6a8b18f0b6fa", "url": "https://www.simmerkate.co.uk/single-post/fendi-x-skims-jumpsuit", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "d5ee15e6-ec40-44f4-b2ce-d10839528ea9", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1639510704&key=e07da394346eb54b79a6d12528265da3&cid=294525", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Fendi x Skims Jumpsuit", "previous": {"uuid": "a016643f-219a-488b-934c-3b7f065b3f03", "url": "https://www.simsfinds.com/continue?key=e07da394346eb54b79a6d12528265da3", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Fendi x Skims Jumpsuit", "previous": {"uuid": "1455b661-9fcd-43d9-b8f4-5a1a22a30ead", "url": "https://www.simsfinds.com/downloads/294525/fendi-x-skims-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Fendi x Skims Jumpsuit", "previous": null}}}}
2025-02-06 17:31:00:577  {"uuid": "5693e9b2-3a80-4603-8de2-0b355835e27b", "url": "https://ruchellsims-cc.blogspot.com/2022/10/tom-f-lock-heels-free.html", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "fa5b7464-b582-4ee2-b1cf-61732894e210", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1667683123&key=a3a8acaa9306ddda0a538c3f08eeccf3&cid=313780", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TOM F. LOCK HEELS - FREE", "previous": {"uuid": "c79d8825-910a-431d-a644-b1f847765e81", "url": "https://www.simsfinds.com/continue?key=a3a8acaa9306ddda0a538c3f08eeccf3", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TOM F. LOCK HEELS - FREE", "previous": {"uuid": "6185ba7a-3bbd-4f09-9578-178b4036ced4", "url": "https://www.simsfinds.com/downloads/313780/tom-f-lock-heels-free-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "TOM F. LOCK HEELS - FREE", "previous": null}}}}
2025-02-06 17:31:00:577  {"uuid": "36eac9a2-b708-48b4-8eba-83e57be2c47e", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/chloem-chic-hoodie-jumpsuit/id/1443306/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "822f70b4-c668-44c7-a1cc-e067ca174b69", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1554555093&key=00dcd400be7c34902fea6bf3e7023c1a&cid=150947", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "ChloeM-Chic Hoodie Jumpsuit", "previous": {"uuid": "b49aedfd-027e-403e-bd80-281f1eb140bb", "url": "https://www.simsfinds.com/continue?key=00dcd400be7c34902fea6bf3e7023c1a", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "ChloeM-Chic Hoodie Jumpsuit", "previous": {"uuid": "a73eb635-cd9c-4f0a-ac4c-90c26e778eea", "url": "https://www.simsfinds.com/downloads/150947/chloem-chic-hoodie-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "ChloeM-Chic Hoodie Jumpsuit", "previous": null}}}}
2025-02-06 17:31:00:577  {"uuid": "fae405ac-01e9-49fa-91b7-f13e8a5fd623", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/cc-missbo/id/1506487/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "47efdcd9-3fea-4ad5-a121-f222793ab521", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1600097878&key=72e99339c2b6fbad427a82e47357023c&cid=239521", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Missbo", "previous": {"uuid": "a9eb5005-5ff1-4b59-ac19-f27c970f45f7", "url": "https://www.simsfinds.com/continue?key=72e99339c2b6fbad427a82e47357023c", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Missbo", "previous": {"uuid": "29cee47d-049c-41f9-b2cf-3ba09bf85301", "url": "https://www.simsfinds.com/downloads/239521/carvin-captoor-s-cc-missbo-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "carvin captoor&#39;s CC.Missbo", "previous": null}}}}
2025-02-06 17:31:00:577  {"uuid": "0fb174b5-332a-4597-b716-13c31d6cd3dd", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/camuflaje--no-limit/id/1471491/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "ccaae1a8-8ec6-48f1-ae91-47c80c4f718b", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1576780758&key=4b7b850378afa239e768bd722cbffddf&cid=183875", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Camuflaje - No Limit", "previous": {"uuid": "36f3660c-9f36-43a3-9fec-55a286512d2d", "url": "https://www.simsfinds.com/continue?key=4b7b850378afa239e768bd722cbffddf", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Camuflaje - No Limit", "previous": {"uuid": "a2c71e4f-a690-4590-8e2a-46cfda2c4efa", "url": "https://www.simsfinds.com/downloads/183875/camuflaje-no-limit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Camuflaje - No Limit", "previous": null}}}}
2025-02-06 17:31:00:577  {"uuid": "8073f8fd-cfcc-4918-9b82-f7d8f93fe626", "url": "https://www.thesimsresource.com/members/Mermalade/downloads/details/category/sims4-clothing-female-elder-everyday/title/square-neck-bodysuit-mc554/id/1697667/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "b34f4094-1ef2-4bdf-a907-8d3002b238fc", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1733822872&key=79ef76fd9ee4bd74d2713535e064f900&cid=357667", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Square Neck Bodysuit MC554 by Mermalade", "previous": {"uuid": "c5d75d14-892b-43b5-b38f-abcd9a67042e", "url": "https://www.simsfinds.com/continue?key=79ef76fd9ee4bd74d2713535e064f900", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Square Neck Bodysuit MC554 by Mermalade", "previous": {"uuid": "c62fe16e-225c-491d-8826-a389a58f18c7", "url": "https://www.simsfinds.com/downloads/357667/square-neck-bodysuit-mc554-by-mermalade-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "Square Neck Bodysuit MC554 by Mermalade", "previous": null}}}}
2025-02-06 17:31:00:578  {"uuid": "23eae75f-60a2-4339-b79f-942f8750fa4b", "url": "https://www.thesimsresource.com/downloads/details/category/sims4-clothing-female-teenadultelder-everyday/title/kyna--jumpsuit/id/1459491/", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": null, "previous": {"uuid": "57b7c446-eba7-49e3-a107-240fba8f51d9", "url": "https://click.simsfinds.com/download?flid=0&pass=2307102333&version=1567683728&key=0864116efb67765e09a7e7a85bf7f203&cid=167899", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "KYNA - Jumpsuit", "previous": {"uuid": "514839c6-f378-4df4-8f28-7afab33daf17", "url": "https://www.simsfinds.com/continue?key=0864116efb67765e09a7e7a85bf7f203", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "KYNA - Jumpsuit", "previous": {"uuid": "797bcaf4-b12b-4222-bb2c-9b230098e08c", "url": "https://www.simsfinds.com/downloads/167899/kyna-jumpsuit-sims4", "directory": "/Users/asiaserrano/ChromeDownloads/download_2025-02-06_17.18.02", "filename": "KYNA - Jumpsuit", "previous": null}}}}
